Site,ACFL,AMCR,AMGO,BAWW,BGGN,BHCO,BHNU,BLJA,BRTH,CACH,CAGO,CAWR,CHSP,CHUCK,COGR,COYE,DOWO,EABL,EAPH,EATO,EAWP,FICR,FISP,GCFL,GRCA,HAWO,HOWA,INBU,MODO,NOBO,NOCA,NOFL,NOMO,NOWA,OVEN,PIWA,PIWO,PRWA,RBWO,REVI,RHWO,RSHA,SUTA,TUTI,WBNU,WEVI,WHIP,WITU,WOTH,YBCH,YBCU,YEWA,YTWA,RWBB,owl,CHSW,RBHU,BHVI,HOFI,NOPA,AMRO,RTHU,BLGR,WTSP,AMRE,BACS,GHOW,BDOW,CEWA
3,0,6,1,1,0,3,1,0,0,0,0,5,1,0,0,0,0,4,0,6,0,0,0,0,0,0,0,3,4,2,6,0,0,0,0,8,2,0,1,0,0,0,1,4,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathis_1B_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,5,0,0,8,1,0,2,0,5,0,2,0,0,0,0,0,0,0,8,5,0,0,0,1,0,0,5,0,1,3,0,0,0,0,4,0,8,3,0,0,0,4,2,0,2,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,6,0,0,7,1,0,1,0,4,0,4,0,0,0,0,4,0,0,8,6,4,0,0,0,0,0,1,2,3,4,0,0,0,0,4,1,8,4,0,0,0,2,8,0,3,0,0,1,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,6,1,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,1,7,3,0,3,0,1,0,0,2,6,0,6,0,0,0,0,2,0,3,3,0,0,0,3,6,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mills_0B_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,6,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,8,0,4,0,0,0,0,5,0,0,7,0,0,0,8,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,4,0,0,0,1,0,3,0,2,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,8,0,5,0,0,0,0,4,0,0,4,0,0,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,4,3,0,0,0,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,3,3,0,0,3,4,0,0,3,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mills_1B_45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
